nohup: ignoring input
CompileCommand: exclude com/intellij/openapi/vfs/impl/FilePartNodeRoot.trieDescend bool exclude = true
2023-08-31 10:00:10,306 [   1524]   WARN - #c.i.o.v.i.l.NativeFileWatcherImpl - inotify_init: Too many open files
2023-08-31 10:22:51,394 [1362612] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:22:51,895 [1363113] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:22:52,398 [1363616] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:22:52,398 [1363616] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:22:52,901 [1364119] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:22:53,404 [1364622] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:22:53,404 [1364622] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:22:53,906 [1365124] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:22:54,411 [1365629] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:22:54,411 [1365629] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:22:54,913 [1366131] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:22:55,417 [1366635] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:22:55,418 [1366636] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:22:55,921 [1367139] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:22:56,424 [1367642] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:22:56,424 [1367642] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:22:56,469 [1367687] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:22:56,469 [1367687] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:23:16,198 [1387416] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:23:16,199 [1387417] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:23:36,944 [1408162] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:23:36,944 [1408162] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:16,866 [1508084] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:16,866 [1508084] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:16,909 [1508127] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:16,909 [1508127] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:24,405 [1515623] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:24,405 [1515623] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:24,675 [1515893] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:24,675 [1515893] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:24,716 [1515934] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:24,717 [1515935] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:24,989 [1516207] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:24,989 [1516207] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:25,021 [1516239] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:25,021 [1516239] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:26,154 [1517372] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:26,155 [1517373] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:26,195 [1517413] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:26,195 [1517413] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:28,085 [1519303] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:28,085 [1519303] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:28,523 [1519741] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:28,523 [1519741] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:47,360 [1538578] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:47,360 [1538578] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:47,421 [1538639] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:47,422 [1538640] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:47,652 [1538870] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:47,652 [1538870] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:47,922 [1539140] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:47,923 [1539141] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:47,955 [1539173] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:47,955 [1539173] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:49,224 [1540442] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:49,225 [1540443] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:49,459 [1540677] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:49,459 [1540677] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:51,691 [1542909] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:51,691 [1542909] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:51,734 [1542952] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:51,735 [1542953] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:53,715 [1544933] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:53,716 [1544934] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:54,273 [1545491] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:54,273 [1545491] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:54,311 [1545529] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:54,311 [1545529] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:56,088 [1547306] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:25:56,088 [1547306] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:26:54,908 [1606126] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:26:54,908 [1606126] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:26:55,759 [1606977] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:26:55,759 [1606977] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:28:09,242 [1680460] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:28:09,243 [1680461] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:28:53,253 [1724471] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:28:53,254 [1724472] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:28:53,313 [1724531] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:28:53,313 [1724531] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 10:28:54,329 [1725547] SEVERE - #c.i.u.t.i.ActionButton - BGT action PyPlotToolWindow$ClosePlotAction (com.jetbrains.python.scientific.figures.PyPlotToolWindow$ClosePlotAction) is not allowed. Only EDT actions are allowed. [Plugin: Pythonid]
com.intellij.diagnostic.PluginException: BGT action PyPlotToolWindow$ClosePlotAction (com.jetbrains.python.scientific.figures.PyPlotToolWindow$ClosePlotAction) is not allowed. Only EDT actions are allowed. [Plugin: Pythonid]
	at com.intellij.diagnostic.PluginProblemReporterImpl.createPluginExceptionByClass(PluginProblemReporterImpl.java:23)
	at com.intellij.diagnostic.PluginException.createByClass(PluginException.java:89)
	at com.intellij.ui.tabs.impl.ActionButton.<init>(ActionButton.java:44)
	at com.intellij.ui.tabs.impl.ActionPanel$1.<init>(ActionPanel.java:52)
	at com.intellij.ui.tabs.impl.ActionPanel.<init>(ActionPanel.java:52)
	at com.intellij.ui.tabs.impl.TabLabel.setTabActions(TabLabel.java:566)
	at com.intellij.ui.tabs.impl.JBTabsImpl.updateTabActions(JBTabsImpl.kt:1577)
	at com.intellij.ui.tabs.impl.JBTabsImpl.addTab(JBTabsImpl.kt:1182)
	at com.intellij.ui.tabs.impl.JBTabsImpl.addTab(JBTabsImpl.kt:1154)
	at com.intellij.ui.tabs.impl.JBTabsImpl.addTab(JBTabsImpl.kt:1201)
	at com.jetbrains.python.scientific.figures.PyPlotToolWindow.lambda$addFigure$0(PyPlotToolWindow.java:125)
	at com.intellij.openapi.application.TransactionGuardImpl.runWithWritingAllowed(TransactionGuardImpl.java:208)
	at com.intellij.openapi.application.TransactionGuardImpl.access$100(TransactionGuardImpl.java:21)
	at com.intellij.openapi.application.TransactionGuardImpl$1.run(TransactionGuardImpl.java:190)
	at com.intellij.openapi.application.impl.ApplicationImpl.runIntendedWriteActionOnCurrentThread(ApplicationImpl.java:861)
	at com.intellij.openapi.application.impl.ApplicationImpl$4.run(ApplicationImpl.java:478)
	at com.intellij.openapi.application.impl.FlushQueue.doRun(FlushQueue.java:79)
	at com.intellij.openapi.application.impl.FlushQueue.runNextEvent(FlushQueue.java:121)
	at com.intellij.openapi.application.impl.FlushQueue.flushNow(FlushQueue.java:41)
	at java.desktop/java.awt.event.InvocationEvent.dispatch(InvocationEvent.java:318)
	at java.desktop/java.awt.EventQueue.dispatchEventImpl(EventQueue.java:789)
	at java.desktop/java.awt.EventQueue$3.run(EventQueue.java:740)
	at java.desktop/java.awt.EventQueue$3.run(EventQueue.java:734)
	at java.base/java.security.AccessController.doPrivileged(AccessController.java:399)
	at java.base/java.security.ProtectionDomain$JavaSecurityAccessImpl.doIntersectionPrivilege(ProtectionDomain.java:86)
	at java.desktop/java.awt.EventQueue.dispatchEvent(EventQueue.java:759)
	at com.intellij.ide.IdeEventQueue.defaultDispatchEvent(IdeEventQueue.kt:685)
	at com.intellij.ide.IdeEventQueue._dispatchEvent$lambda$10(IdeEventQueue.kt:589)
	at com.intellij.openapi.application.impl.ApplicationImpl.runWithoutImplicitRead(ApplicationImpl.java:1485)
	at com.intellij.ide.IdeEventQueue._dispatchEvent(IdeEventQueue.kt:589)
	at com.intellij.ide.IdeEventQueue.access$_dispatchEvent(IdeEventQueue.kt:67)
	at com.intellij.ide.IdeEventQueue$dispatchEvent$processEventRunnable$1$1$1.compute(IdeEventQueue.kt:369)
	at com.intellij.ide.IdeEventQueue$dispatchEvent$processEventRunnable$1$1$1.compute(IdeEventQueue.kt:368)
	at com.intellij.openapi.progress.impl.CoreProgressManager.computePrioritized(CoreProgressManager.java:787)
	at com.intellij.ide.IdeEventQueue$dispatchEvent$processEventRunnable$1$1.invoke(IdeEventQueue.kt:368)
	at com.intellij.ide.IdeEventQueue$dispatchEvent$processEventRunnable$1$1.invoke(IdeEventQueue.kt:363)
	at com.intellij.ide.IdeEventQueueKt.performActivity$lambda$1(IdeEventQueue.kt:992)
	at com.intellij.openapi.application.TransactionGuardImpl.performActivity(TransactionGuardImpl.java:105)
	at com.intellij.ide.IdeEventQueueKt.performActivity(IdeEventQueue.kt:992)
	at com.intellij.ide.IdeEventQueue.dispatchEvent$lambda$7(IdeEventQueue.kt:363)
	at com.intellij.openapi.application.impl.ApplicationImpl.runIntendedWriteActionOnCurrentThread(ApplicationImpl.java:861)
	at com.intellij.ide.IdeEventQueue.dispatchEvent(IdeEventQueue.kt:405)
	at java.desktop/java.awt.EventDispatchThread.pumpOneEventForFilters(EventDispatchThread.java:207)
	at java.desktop/java.awt.EventDispatchThread.pumpEventsForFilter(EventDispatchThread.java:128)
	at java.desktop/java.awt.EventDispatchThread.pumpEventsForHierarchy(EventDispatchThread.java:117)
	at java.desktop/java.awt.EventDispatchThread.pumpEvents(EventDispatchThread.java:113)
	at java.desktop/java.awt.EventDispatchThread.pumpEvents(EventDispatchThread.java:105)
	at java.desktop/java.awt.EventDispatchThread.run(EventDispatchThread.java:92)
2023-08-31 10:28:54,330 [1725548] SEVERE - #c.i.u.t.i.ActionButton - PyCharm 2023.2  Build #PY-232.8660.197
2023-08-31 10:28:54,330 [1725548] SEVERE - #c.i.u.t.i.ActionButton - JDK: 17.0.7; VM: OpenJDK 64-Bit Server VM; Vendor: JetBrains s.r.o.
2023-08-31 10:28:54,330 [1725548] SEVERE - #c.i.u.t.i.ActionButton - OS: Linux
2023-08-31 10:28:54,463 [1725681] SEVERE - #c.i.u.t.i.ActionButton - BGT action PyDataView$CloseViewerAction (com.jetbrains.python.debugger.containerview.PyDataView$CloseViewerAction) is not allowed. Only EDT actions are allowed. [Plugin: Pythonid]
com.intellij.diagnostic.PluginException: BGT action PyDataView$CloseViewerAction (com.jetbrains.python.debugger.containerview.PyDataView$CloseViewerAction) is not allowed. Only EDT actions are allowed. [Plugin: Pythonid]
	at com.intellij.diagnostic.PluginProblemReporterImpl.createPluginExceptionByClass(PluginProblemReporterImpl.java:23)
	at com.intellij.diagnostic.PluginException.createByClass(PluginException.java:89)
	at com.intellij.ui.tabs.impl.ActionButton.<init>(ActionButton.java:44)
	at com.intellij.ui.tabs.impl.ActionPanel$1.<init>(ActionPanel.java:52)
	at com.intellij.ui.tabs.impl.ActionPanel.<init>(ActionPanel.java:52)
	at com.intellij.ui.tabs.impl.TabLabel.setTabActions(TabLabel.java:566)
	at com.intellij.ui.tabs.impl.JBTabsImpl.updateTabActions(JBTabsImpl.kt:1577)
	at com.intellij.ui.tabs.impl.JBTabsImpl.addTab(JBTabsImpl.kt:1182)
	at com.intellij.ui.tabs.impl.JBTabsImpl.addTab(JBTabsImpl.kt:1154)
	at com.intellij.ui.tabs.impl.JBTabsImpl.addTab(JBTabsImpl.kt:1201)
	at com.jetbrains.python.debugger.containerview.PyDataView.addTab(PyDataView.java:216)
	at com.jetbrains.python.scientific.PyDataViewToolWindowFactory.addTabConnectedToConsole(PyDataViewToolWindowFactory.java:160)
	at com.jetbrains.python.scientific.PyDataViewToolWindowFactory$3.selectionChanged(PyDataViewToolWindowFactory.java:135)
	at jdk.internal.reflect.GeneratedMethodAccessor26.invoke(Unknown Source)
	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.base/java.lang.reflect.Method.invoke(Method.java:568)
	at com.intellij.util.EventDispatcher.dispatchVoidMethod(EventDispatcher.java:118)
	at com.intellij.util.EventDispatcher.lambda$createMulticaster$1(EventDispatcher.java:83)
	at jdk.proxy2/jdk.proxy2.$Proxy99.selectionChanged(Unknown Source)
	at com.intellij.ui.content.impl.ContentManagerImpl.fireSelectionChanged(ContentManagerImpl.java:621)
	at com.intellij.ui.content.impl.ContentManagerImpl.addSelectedContent(ContentManagerImpl.java:432)
	at com.intellij.ui.content.impl.ContentManagerImpl$2.run(ContentManagerImpl.java:520)
	at com.intellij.ui.content.impl.ContentManagerImpl.setSelectedContent(ContentManagerImpl.java:536)
	at com.intellij.ui.content.impl.ContentManagerImpl.setSelectedContentCB(ContentManagerImpl.java:485)
	at com.intellij.ui.content.impl.ContentManagerImpl.setSelectedContentCB(ContentManagerImpl.java:475)
	at com.intellij.ui.content.impl.ContentManagerImpl.setSelectedContentCB(ContentManagerImpl.java:559)
	at com.intellij.ui.content.impl.ContentManagerImpl.setSelectedContent(ContentManagerImpl.java:564)
	at com.intellij.ui.content.impl.ContentManagerImpl.doAddContent(ContentManagerImpl.java:201)
	at com.intellij.ui.content.impl.ContentManagerImpl.addContent(ContentManagerImpl.java:171)
	at com.jetbrains.python.console.PythonConsoleToolWindow.setContent(PythonConsoleToolWindow.java:85)
	at com.jetbrains.python.console.PythonConsoleToolWindow.init(PythonConsoleToolWindow.java:53)
	at com.jetbrains.python.console.PydevConsoleRunnerImpl.showContentDescriptor(PydevConsoleRunnerImpl.java:375)
	at com.jetbrains.python.console.PydevConsoleRunnerImpl.createContentDescriptorAndActions(PydevConsoleRunnerImpl.java:954)
	at com.jetbrains.python.console.PydevConsoleRunnerImpl.lambda$initAndRun$7(PydevConsoleRunnerImpl.java:872)
	at java.desktop/java.awt.event.InvocationEvent.dispatch(InvocationEvent.java:308)
	at java.desktop/java.awt.EventQueue.dispatchEventImpl(EventQueue.java:789)
	at java.desktop/java.awt.EventQueue$3.run(EventQueue.java:740)
	at java.desktop/java.awt.EventQueue$3.run(EventQueue.java:734)
	at java.base/java.security.AccessController.doPrivileged(AccessController.java:399)
	at java.base/java.security.ProtectionDomain$JavaSecurityAccessImpl.doIntersectionPrivilege(ProtectionDomain.java:86)
	at java.desktop/java.awt.EventQueue.dispatchEvent(EventQueue.java:759)
	at com.intellij.ide.IdeEventQueue.defaultDispatchEvent(IdeEventQueue.kt:685)
	at com.intellij.ide.IdeEventQueue._dispatchEvent$lambda$10(IdeEventQueue.kt:589)
	at com.intellij.openapi.application.impl.ApplicationImpl.runWithoutImplicitRead(ApplicationImpl.java:1485)
	at com.intellij.ide.IdeEventQueue._dispatchEvent(IdeEventQueue.kt:589)
	at com.intellij.ide.IdeEventQueue.access$_dispatchEvent(IdeEventQueue.kt:67)
	at com.intellij.ide.IdeEventQueue$dispatchEvent$processEventRunnable$1$1$1.compute(IdeEventQueue.kt:369)
	at com.intellij.ide.IdeEventQueue$dispatchEvent$processEventRunnable$1$1$1.compute(IdeEventQueue.kt:368)
	at com.intellij.openapi.progress.impl.CoreProgressManager.computePrioritized(CoreProgressManager.java:787)
	at com.intellij.ide.IdeEventQueue$dispatchEvent$processEventRunnable$1$1.invoke(IdeEventQueue.kt:368)
	at com.intellij.ide.IdeEventQueue$dispatchEvent$processEventRunnable$1$1.invoke(IdeEventQueue.kt:363)
	at com.intellij.ide.IdeEventQueueKt.performActivity$lambda$1(IdeEventQueue.kt:992)
	at com.intellij.openapi.application.TransactionGuardImpl.performActivity(TransactionGuardImpl.java:105)
	at com.intellij.ide.IdeEventQueueKt.performActivity(IdeEventQueue.kt:992)
	at com.intellij.ide.IdeEventQueue.dispatchEvent$lambda$7(IdeEventQueue.kt:363)
	at com.intellij.openapi.application.impl.ApplicationImpl.runIntendedWriteActionOnCurrentThread(ApplicationImpl.java:861)
	at com.intellij.ide.IdeEventQueue.dispatchEvent(IdeEventQueue.kt:405)
	at java.desktop/java.awt.EventDispatchThread.pumpOneEventForFilters(EventDispatchThread.java:207)
	at java.desktop/java.awt.EventDispatchThread.pumpEventsForFilter(EventDispatchThread.java:128)
	at java.desktop/java.awt.EventDispatchThread.pumpEventsForHierarchy(EventDispatchThread.java:117)
	at java.desktop/java.awt.EventDispatchThread.pumpEvents(EventDispatchThread.java:113)
	at java.desktop/java.awt.EventDispatchThread.pumpEvents(EventDispatchThread.java:105)
	at java.desktop/java.awt.EventDispatchThread.run(EventDispatchThread.java:92)
2023-08-31 10:28:54,465 [1725683] SEVERE - #c.i.u.t.i.ActionButton - PyCharm 2023.2  Build #PY-232.8660.197
2023-08-31 10:28:54,465 [1725683] SEVERE - #c.i.u.t.i.ActionButton - JDK: 17.0.7; VM: OpenJDK 64-Bit Server VM; Vendor: JetBrains s.r.o.
2023-08-31 10:28:54,465 [1725683] SEVERE - #c.i.u.t.i.ActionButton - OS: Linux
2023-08-31 11:16:31,560 [4582778]   WARN - org.apache.velocity.deprecation - configuration key 'resource.loader' has been deprecated in favor of 'resource.loaders'
2023-08-31 11:16:31,570 [4582788]   WARN - org.apache.velocity.deprecation - configuration key 'includes.resource.loader.instance' has been deprecated in favor of 'resource.loader.includes.instance'
2023-08-31 15:00:52,553 [18043771] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 15:00:52,554 [18043772] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 15:00:52,565 [18043783] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 15:00:52,565 [18043783] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 15:00:52,616 [18043834] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 15:00:52,616 [18043834] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 15:00:53,077 [18044295] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 15:00:53,077 [18044295] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 15:00:53,577 [18044795] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 15:00:54,086 [18045304] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 15:00:54,086 [18045304] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 15:00:54,581 [18045799] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 15:00:54,844 [18046062] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 15:00:55,015 [18046233] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 15:00:55,083 [18046301] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 15:00:55,083 [18046301] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 15:00:55,586 [18046804] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 15:00:56,077 [18047295] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: -1 < 0
2023-08-31 15:02:25,547 [18136765] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: 13 >= 13
2023-08-31 15:02:25,547 [18136765] SEVERE - com.jediterm.terminal.model.TerminalTextBuffer - Attempt to get line out of bounds: 13 >= 13
2023-08-31 18:37:28,504 [31039722]   WARN - #c.i.o.a.i.ActionUpdater - 531 ms to grab EDT for FakeRerunAction#update@RunnerToolbar (com.intellij.execution.runners.FakeRerunAction)
2023-08-31 18:37:28,504 [31039722]   WARN - #c.i.o.a.i.ActionUpdater - 531 ms to grab EDT for EditorMarkupModelImpl$TrafficLightAction#update@EditorInspectionsToolbar (com.intellij.openapi.editor.impl.EditorMarkupModelImpl$TrafficLightAction)
